book_id,title,author,publisher,category,isbn,publish_year,description,cover_url
1,算法导论（第3版）,Thomas H. Cormen,机械工业出版社,算法与数据结构,978-7-111-40701-0,2013,算法领域的经典教材，全面介绍了算法设计、分析和实现的基础知识与高级技术。,/static/covers/book_001.jpg
2,深入理解计算机系统（第3版）,Randal E. Bryant,机械工业出版社,计算机基础,978-7-111-54493-7,2016,从程序员视角深入剖析计算机系统的工作原理，涵盖处理器架构、存储器层次、链接、异常控制流等核心主题。,/static/covers/book_002.jpg
3,Python编程：从入门到实践（第3版）,Eric Matthes,人民邮电出版社,编程语言,978-7-115-61383-7,2023,全球畅销的Python入门书，通过项目驱动的方式帮助读者快速掌握Python编程。,/static/covers/book_003.jpg
4,计算机网络：自顶向下方法（第8版）,James F. Kurose,机械工业出版社,计算机网络,978-7-111-71958-0,2022,以自顶向下的方式讲解计算机网络，从应用层开始逐步深入，适合初学者理解网络原理。,/static/covers/book_004.jpg
5,数据库系统概念（第7版）,Abraham Silberschatz,机械工业出版社,数据库,978-7-111-62383-0,2019,数据库领域的权威教材，涵盖关系模型、SQL、数据库设计、事务管理、存储引擎等核心内容。,/static/covers/book_005.jpg
6,机器学习,周志华,清华大学出版社,人工智能,978-7-302-42328-7,2016,国内最著名的机器学习教材之一（西瓜书），系统讲解监督学习、无监督学习、集成学习等经典算法。,/static/covers/book_006.jpg
7,深度学习,Ian Goodfellow,人民邮电出版社,人工智能,978-7-115-46147-6,2017,深度学习领域的奠基性著作（花书），由三位领域先驱合著，全面覆盖深度学习的数学基础与前沿技术。,/static/covers/book_007.jpg
8,C Primer Plus（第6版）,Stephen Prata,人民邮电出版社,编程语言,978-7-115-39059-2,2015,C语言经典入门教材，内容详尽，适合编程初学者打好C语言基础。,/static/covers/book_008.jpg
9,JavaScript高级程序设计（第4版）,Matt Frisbie,人民邮电出版社,编程语言,978-7-115-54588-1,2020,前端开发必读的红宝书，深入讲解JavaScript语言核心概念与Web开发技术。,/static/covers/book_009.jpg
10,操作系统概念（第10版）,Abraham Silberschatz,机械工业出版社,操作系统,978-7-111-65541-1,2020,操作系统领域的经典教材（恐龙书），涵盖进程管理、内存管理、文件系统、I/O系统等核心主题。,/static/covers/book_010.jpg
11,设计模式：可复用面向对象软件的基础,Erich Gamma 等,机械工业出版社,软件工程,978-7-111-07575-2,2000,GoF四人帮经典之作，介绍23种经典设计模式，是面向对象设计的必读书。,/static/covers/book_011.jpg
12,剑指Offer：数据结构与算法名企面试题精讲,何海涛,电子工业出版社,算法与数据结构,978-7-121-41369-8,2021,面试算法刷题必备，涵盖经典算法面试题，帮助读者系统提升算法能力和面试技巧。,/static/covers/book_012.jpg
13,Go语言程序设计,Alan A. A. Donovan,机械工业出版社,编程语言,978-7-111-55841-5,2017,Go语言圣经，由Google工程师撰写，系统讲解Go语言的语法、并发模型和工程实践。,/static/covers/book_013.jpg
14,计算机组成与设计：硬件/软件接口（第5版）,David A. Patterson,机械工业出版社,计算机基础,978-7-111-50482-5,2015,体系结构经典教材，以RISC-V架构为主讲解计算机硬件与软件的交互设计。,/static/covers/book_014.jpg
15,统计学习方法（第3版）,李航,清华大学出版社,人工智能,978-7-302-49723-3,2019,机器学习领域经典中文教材，系统介绍监督学习的主要方法及其数学原理。,/static/covers/book_015.jpg
16,MySQL必知必会,Ben Forta,人民邮电出版社,数据库,978-7-115-19112-0,2009,SQL快速入门经典，短小精悍，帮助读者快速掌握MySQL查询和管理的基础知识。,/static/covers/book_016.jpg
17,Spring实战（第6版）,Craig Walls,人民邮电出版社,软件工程,978-7-115-58703-3,2022,Spring框架权威指南，涵盖Spring Boot、Spring MVC等核心组件的实战应用。,/static/covers/book_017.jpg
18,编译原理（第2版）,Alfred V. Aho,机械工业出版社,计算机基础,978-7-111-25121-7,2008,龙书——编译原理领域的绝对经典，涵盖词法分析、语法分析、代码生成等编译全流程。,/static/covers/book_018.jpg
19,Linux命令行与shell脚本编程大全（第4版）,Richard Blum,人民邮电出版社,操作系统,978-7-115-55583-6,2021,Linux运维与Shell编程实战指南，覆盖从基础命令到高级脚本开发的全面内容。,/static/covers/book_019.jpg
20,图解HTTP,上野宣,人民邮电出版社,计算机网络,978-7-115-35153-1,2014,HTTP协议图解入门书，用大量图示帮助读者轻松理解HTTP/HTTPS协议的工作原理。,/static/covers/book_020.jpg
21,数据结构（C语言版）,严蔚敏,清华大学出版社,算法与数据结构,978-7-302-14751-0,2007,国内高校数据结构课程的经典教材，用C语言实现各类基础数据结构。,/static/covers/book_021.jpg
22,集体智慧编程,Toby Segaran,电子工业出版社,人工智能,978-7-121-25892-2,2015,通俗易懂地讲解推荐系统、协同过滤、聚类等智能算法，适合入门学习推荐系统开发。,/static/covers/book_022.jpg
23,Redis设计与实现,黄健宏,机械工业出版社,数据库,978-7-111-52501-8,2016,深入解析Redis内部数据结构与实现原理，是掌握Redis底层机制的必读书。,/static/covers/book_023.jpg
24,流畅的Python,Luciano Ramalho,人民邮电出版社,编程语言,978-7-115-48216-6,2017,帮助有Python基础的开发者写出更地道、更高效的Python代码，深入Python数据模型。,/static/covers/book_024.jpg
25,鸟哥的Linux私房菜：基础学习篇（第4版）,鸟哥,人民邮电出版社,操作系统,978-7-115-47946-4,2018,Linux入门首选读物，内容从基础到实战，手把手带读者掌握Linux系统管理。,/static/covers/book_025.jpg
26,数据结构与算法分析：C语言描述（第2版）,Mark Allen Weiss,机械工业出版社,算法与数据结构,978-7-111-40541-2,2013,强调算法分析的严谨性，用C语言实现数据结构，适合打好算法分析基础。,/static/covers/book_026.jpg
27,网络是怎样连接的,户根勤,人民邮电出版社,计算机网络,978-7-115-45040-1,2017,以探索之旅的形式讲解网络通信全过程，从浏览器输入URL到服务器响应，图解每一步。,/static/covers/book_027.jpg
28,大话设计模式,程杰,清华大学出版社,软件工程,978-7-302-16206-3,2007,用生动有趣的故事讲解设计模式，降低学习门槛，适合设计模式入门。,/static/covers/book_028.jpg
29,图解TCP/IP（第6版）,竹下隆史,人民邮电出版社,计算机网络,978-7-115-51016-6,2019,TCP/IP协议族的图解入门书，覆盖从物理层到应用层各层协议的工作原理。,/static/covers/book_029.jpg
30,Kubernetes实战,Brendan Burns,电子工业出版社,软件工程,978-7-121-43435-2,2022,Kubernetes实战指南，从容器基础到集群管理，全面讲解云原生应用部署。,/static/covers/book_030.jpg
